cpu_percent,mem_total,mem_used,mem_free,mem_percent,bytes_sent,bytes_recv,timestamp,ts_writerow
0.3,2000,131,1099,15.5,1878551,51101562,2021-03-10 18:16:47.592569,2021-03-10 18:17:20.657705
0.3,2000,131,1099,15.5,1878551,51101562,2021-03-10 18:16:47.592569,2021-03-10 18:18:20.659637
0.3,2000,132,1099,15.5,1884032,51105868,2021-03-10 18:18:47.669007,2021-03-10 18:19:20.665280
0.3,2000,132,1099,15.5,1884032,51105868,2021-03-10 18:18:47.669007,2021-03-10 18:20:20.672980
0.4,2000,132,1099,15.5,1889745,51110374,2021-03-10 18:20:47.816290,2021-03-10 18:21:20.679088
0.4,2000,132,1099,15.5,1889745,51110374,2021-03-10 18:20:47.816290,2021-03-10 18:22:20.686297
0.2,2000,132,1099,15.5,1895340,51114504,2021-03-10 18:22:47.894956,2021-03-10 18:23:20.692316
0.2,2000,132,1099,15.5,1895340,51114504,2021-03-10 18:22:47.894956,2021-03-10 18:24:20.699543
0.3,2000,132,1099,15.5,1900779,51118666,2021-03-10 18:24:47.967692,2021-03-10 18:25:20.705943
0.3,2000,132,1099,15.5,1900779,51118666,2021-03-10 18:24:47.967692,2021-03-10 18:26:20.711409
0.3,2000,132,1099,15.5,1906084,51122676,2021-03-10 18:26:48.065339,2021-03-10 18:27:20.719011
0.3,2000,132,1099,15.5,1906084,51122676,2021-03-10 18:26:48.065339,2021-03-10 18:28:20.727472
0.3,2000,132,1099,15.5,1911439,51126794,2021-03-10 18:28:48.216914,2021-03-10 18:29:20.735138
0.3,2000,132,1099,15.5,1911439,51126794,2021-03-10 18:28:48.216914,2021-03-10 18:30:20.741668
0.3,2000,132,1099,15.5,1917348,51131420,2021-03-10 18:30:48.253906,2021-03-10 18:31:20.750566
0.3,2000,132,1099,15.5,1917348,51131420,2021-03-10 18:30:48.253906,2021-03-10 18:32:20.757169
0.3,2000,132,1099,15.5,1922713,51135594,2021-03-10 18:32:48.389338,2021-03-10 18:33:20.761480
0.3,2000,132,1099,15.5,1922713,51135594,2021-03-10 18:32:48.389338,2021-03-10 18:34:20.765534
0.3,2000,132,1099,15.5,1928040,51139616,2021-03-10 18:34:48.430079,2021-03-10 18:35:20.770126
0.3,2000,132,1099,15.5,1928040,51139616,2021-03-10 18:34:48.430079,2021-03-10 18:36:20.776368
0.3,2000,132,1099,15.5,1933925,51144152,2021-03-10 18:36:48.569427,2021-03-10 18:37:20.782720
0.3,2000,132,1099,15.5,1933925,51144152,2021-03-10 18:36:48.569427,2021-03-10 18:38:20.789669
